"","Establishment.ID","Inspection.ID","Establishment.Name","Severity","Latitude","Longitude"
"3260",10297939,105125768,"PIZZA NOVA","S",43.66941,-79.30377
"3261",10298649,105082307,"ESSO ON THE RUN","M",43.72293,-79.45621
"3262",10298881,105007647,"NORTH YORK DANFORTH FOOD MARKET WAREHOUSE","NA",43.75539,-79.48804
"3263",10298926,105049522,"GEORGE'S PIZZA & PANZEROTTO","S",43.65818,-79.37269
"3264",10299120,105108502,"ANGELGATE DAYCARE INC.","NA",43.65681,-79.47921
"3265",10299162,105013646,"HUNG FOK BBQ","NA",43.78608,-79.35182
"3266",10299276,105057409,"HOT DOGS & SAUSAGES #1247","NA",43.79579,-79.34899
"3267",10299529,105264250,"AMIGOS BAR & GRILL","S",43.78373,-79.16895
"3268",10299616,105041669,"HENRY CONVENIENCE","M",43.68805,-79.49174
"3269",10299634,105319208,"BOMBAY ON THE LAKE","M",43.59996,-79.50788
"3270",10299689,105015399,"MAC'S SUSHI","S",43.72608,-79.45147
"3271",10299781,104820036,"GEORGE STREET DINER","NA",43.65285,-79.37158
"3272",10299811,105053453,"BANK OF NOVA SCOTIA CAFETERIA","NA",43.72807,-79.27847
"3273",10300293,105360947,"TIM HORTONS","M",43.64712,-79.40438
"3274",10300481,105203713,"BIKKURI SUSHI","S",43.67046,-79.29684
"3275",10300487,105151752,"DELIGHT /JUNCTION FROMAGERI","S",43.6657,-79.47079
"3276",10300690,105121053,"SUBWAY","S",43.63465,-79.56257
"3277",10300701,105009313,"WILLIAMS-SONOMA","NA",43.61265,-79.55597
"3278",10300820,105197527,"TARO'S FISH","C",43.76964,-79.37453
"3279",10301403,105188133,"ASIAN GOURMET WOK & GRILL","S",43.79555,-79.42008
"3280",10301462,105086207,"MR. SUB","NA",43.79948,-79.1448
"3281",10301731,105003649,"3 JIT VARIETY","S",43.65718,-79.44885
"3282",10301912,105080266,"L & Y TRADINGS","NA",43.65141,-79.39758
"3283",10301979,105088293,"VILA VERDE BAR & GRILL","C",43.67703,-79.47196
